Cluster	EMN001_Fraction_of_Total	TAF017_Fraction_of_Total	VLC001_Fraction_of_Total	EMN001_Fraction_of_Cluster	TAF017_Fraction_of_Cluster	VLC001_Fraction_of_Cluster
1	0.0019	0.0027	0.3655	0.0051	0.0072	0.9876
2	0.0525	0.0127	0.4205	0.1081	0.0262	0.8656
3	0.0343	0.1098	0.0001	0.2378	0.7616	0.0005
Total	0.0887	0.1252	0.7861			
