Cluster	EMN001_Fraction_of_Total	TAF017_Fraction_of_Total	VLC001_Fraction_of_Total	EMN001_Fraction_of_Cluster	TAF017_Fraction_of_Cluster	VLC001_Fraction_of_Cluster
1	0.0001	0.0002	0.0611	0.0014	0.0027	0.9959
2	0.0526	0.013	0.4226	0.1078	0.0265	0.8656
3	0.0017	0.0023	0.3023	0.0055	0.0075	0.9869
4	0.0343	0.1098	0.0001	0.2378	0.7616	0.0005
Total	0.0887	0.1253	0.7861			
