Reference	EMN001	TAF017	VLC001
k141_214863	1798	642	12327
k141_150957	1133	529	6948
k141_197615	12	23	7287
k141_83670	317	236	9930
k141_105448	8079	46848	0
k141_45135	503	426	16988
k141_5678	1	3	1021
k141_119537	720	282	4460
k141_37475	73	167	33668
k141_222071	13	54	6526
k141_27038	3599	18	4628
k141_211674	0	0	7676
k141_87177	206	333	11850
k141_133807	1	0	888
k141_77269	13	2	1695
k141_140600	1066	405	5921
k141_204947	9	31	1271
k141_154727	1	0	9028
k141_150990	162	181	1920
k141_45167	58	3	2397
k141_179319	483	390	57422
k141_186863	46	10	6195
k141_108446	1015	836	1729
k141_201199	16	8	4283
k141_34395	1	87	5098
k141_172269	3	0	9245
k141_87192	0	2	1064
k141_112531	62	120	20243
k141_197695	7	5	1838
k141_225459	13	103	2984
k141_105502	2	3	1933
k141_9297	5923	27	5306
k141_98205	514	295	812
k141_5718	1011	516	7355
k141_27062	2	1	8433
k141_13057	242	266	7159
k141_2805	33	9	3838
k141_30564	2	0	7460
k141_73363	30	22	2295
k141_176774	26	0	1123
k141_77298	96	0	860
k141_219173	2	3	6516
k141_190640	6	58	1907
k141_161843	3	33	1111
k141_63065	0	9	1533
k141_20560	70	45	8086
k141_2811	56	4	3741
k141_140654	4	0	2615
k141_83743	8	10	2093
k141_94405	9	18	3204
k141_176778	0	2	928
k141_225464	451	387	15490
k141_119656	2	0	1944
k141_42030	24	39	4309
k141_211750	1	2	2063
k141_73381	0	1	1005
k141_179370	40	4	1631
k141_27080	1	29	1490
k141_144545	11	1	1374
k141_77317	34	39	7745
k141_112607	547	319	13300
k141_98253	1143	413	5506
k141_129968	4659	0	0
k141_161897	0	0	1858
k141_108508	4	0	9035
k141_48273	6	31	5017
k141_201263	98	59	5198
k141_9368	2	0	964
k141_80123	6	44	6899
k141_222170	3	5	7146
k141_87265	8	48	1494
k141_133938	24	16	10385
k141_112617	4	10	4811
k141_27105	0	6	1799
k141_147733	654	373	56506
k141_179400	10	67	2071
k141_83821	0	8	4372
k141_2853	5465	43	5085
k141_48277	2935	17890	0
k141_55775	0	0	1042
k141_91252	517	177	2752
k141_154859	269	449	15202
k141_126514	32	1	9498
k141_16354	0	0	711
k141_30624	16	108	4961
k141_69952	1	57	6400
k141_108529	8	104	2533
k141_23682	4	2	1607
k141_176889	2216	0	2
k141_2872	0	0	3337
k141_201293	25	6	1482
k141_144607	0	1	962
k141_42097	1444	573	8115
k141_187002	0	26	3562
k141_9396	11	1	3496
k141_34543	8	39	5957
k141_154869	0	2	1111
k141_183561	27	24	3583
k141_172414	177	328	2047
k141_225547	0	1	668
k141_179430	38	5	4073
k141_151086	1296	517	6449
k141_52169	325	224	18308
k141_80140	11	108	3491
k141_16358	296	12	1864
k141_55813	2	42	1991
k141_77405	6	91	13477
k141_172416	23	35	4798
k141_20703	45	2	2793
k141_45369	158	284	1414
k141_83863	60	14	1946
k141_137270	99	34	2654
k141_98286	92	125	20150
k141_13180	16	84	20966
k141_52184	3161	0	0
k141_55818	50	48	2097
k141_144637	2	35	4265
k141_5906	73	36	2947
k141_16376	25	384	3589
k141_115517	9	38	1321
k141_30692	1	16	885
k141_154909	0	0	7070
k141_208090	173	170	8077
k141_45397	123	217	1385
k141_159421	129	64	8793
k141_179460	10458	110	8097
k141_172424	261	368	3291
k141_162008	8	13	6202
k141_52206	2	0	1710
k141_119759	17	41	15432
k141_225552	384	735	5819
k141_140805	120	243	1749
k141_165214	1250	829	108895
k141_42115	28	255	8138
k141_176961	0	2	4860
k141_219321	635	514	5365
k141_190867	2	24	552
k141_147814	31	39	7920
k141_183648	2	9	4006
k141_37712	10	14	4962
k141_27232	935	304	5409
k141_112743	1	4	1907
k141_225561	2013	12701	1
k141_87371	1	106	9349
k141_63307	53	41	9934
k141_162016	0	76	3843
k141_58602	716	493	63024
k141_115558	1	0	2083
k141_208138	28	14	2313
k141_197968	0	11	4094
k141_215138	1228	518	7108
k141_119816	125	167	1492
k141_30762	12	0	3796
k141_140848	4	27	2718
k141_108636	0	85	4453
k141_154957	3731	42	3567
k141_162039	191	177	8423
k141_77533	0	0	6798
k141_177031	36	28	3771
k141_190921	0	91	7507
k141_52275	271	158	2621
k141_55914	5	25	4304
k141_23770	11	0	5067
k141_91446	5191	46	5103
k141_187163	9	62	4927
k141_137388	170	186	1423
k141_73596	24	14	3146
k141_66881	11	37	8559
k141_208172	144	220	1801
k141_225616	489	350	689
k141_159560	5	0	1064
k141_154962	0	0	9691
k141_3078	0	2	1749
k141_190943	1	66	1515
k141_48456	0	68	4254
k141_34706	5192	30432	2
k141_151249	1	2	2076
k141_6004	48	53	6581
k141_172493	4	7	7591
k141_187164	1	39	8473
k141_201490	1	2	935
k141_119860	4624	27	4081
k141_84036	7	35	1430
k141_183719	9	45	7925
k141_177087	564	223	4306
k141_101853	56	222	41359
k141_20874	18	37	8019
k141_112859	480	386	931
k141_45509	2	2	3236
k141_42287	594	200	2855
k141_27376	909	382	5359
k141_222378	0	93	14989
k141_198117	2	24	3628
k141_137430	6	68	2132
k141_94684	79	33	2728
k141_16556	1	0	2024
k141_177137	14	27	4331
k141_52348	3	0	2088
k141_13391	0	0	7718
k141_198124	0	0	2364
k141_165400	9	1	1054
k141_112907	4	23	1535
k141_6107	40	7	2564
k141_183762	11	0	7287
k141_98534	2	0	2056
k141_58694	8683	59	7834
k141_42331	5	38	5989
k141_13420	0	30	645
k141_137453	0	4	858
k141_219518	526	423	836
k141_155073	2062	12856	1
k141_159631	2	13	17369
k141_77698	3	15	2876
k141_52382	1	26	6908
k141_80385	0	67	2426
k141_191051	67	36	2842
k141_225702	4	17	4506
k141_187254	1	0	1456
k141_205444	2543	3	2901
k141_42362	0	1	1994
k141_37904	3	17	3495
k141_91572	78	51	8739
k141_191057	6	0	1177
k141_94763	28	8	2215
k141_98576	7	18	5685
k141_169235	376	219	33035
k141_23887	413	499	4287
k141_155081	282	382	23090
k141_30861	456	258	27579
k141_56070	10	107	11045
k141_73729	7219	60	6657
k141_87534	59	69	3916
k141_198215	50	25	3888
k141_98583	519	178	3340
k141_48565	10288	58	10192
k141_42399	1	4	1887
k141_126910	4616	51	4435
k141_219558	212	91	13471
k141_91606	194	300	2361
k141_84186	120	76	9333
k141_208343	0	0	4884
k141_222470	279	373	2833
k141_73749	24	94	4094
k141_3272	1765	10441	0
k141_21105	59	26	2289
k141_191098	61	0	4832
k141_194436	3	0	2276
k141_183831	9245	65	8592
k141_205492	14	39	7950
k141_134355	4	66	2039
k141_34858	207	205	16026
k141_141100	2	29	5668
k141_77790	10	0	4351
k141_179731	38	91	15077
k141_191107	5	4	2453
k141_145025	0	0	4536
k141_16711	0	0	13653
k141_137493	691	893	7175
k141_37981	3	22	4427
k141_191108	125	164	1622
k141_126970	0	5	818
k141_120105	9	16	3590
k141_162265	246	127	10612
k141_108886	8	26	12029
k141_130428	41	37	5697
k141_77794	0	29	5845
k141_6295	1	0	1810
k141_34877	752	737	22490
k141_102098	4	51	5853
k141_94863	2	11	1614
k141_23977	103	78	8803
k141_52516	1000	365	2810
k141_191116	11	69	4548
k141_80501	1	0	2081
k141_215351	458	307	41239
k141_212259	0	54	3893
k141_91692	2	3	2566
k141_48610	1	1	6855
k141_115866	0	27	7395
k141_6302	44	8	4727
k141_145042	161	105	13504
k141_45778	0	1	1367
k141_98688	1	1	2432
k141_179788	133	205	1517
k141_183896	2	16	4403
k141_102153	2715	22	3185
k141_73818	17	4	6365
k141_115883	111	170	4544
k141_187388	1	8	3836
k141_87682	66	154	5026
k141_222562	2843	18282	3
k141_201770	0	0	11662
k141_177430	14	52	2264
k141_27630	0	9	3440
k141_16797	497	330	689
k141_183911	0	3	980
k141_130475	0	40	4691
k141_113123	0	26	4963
k141_56259	3	0	7016
k141_70560	13	9	2350
k141_38093	25	6	1892
k141_115888	92	0	857
k141_145078	13	13	3332
k141_80538	4	23	3559
k141_169393	6	13	5913
k141_130478	108	147	5003
k141_73836	200	164	1826
k141_162352	3	19	1340
k141_205604	108	59	4835
k141_148162	47	140	23283
k141_27661	41	29	2540
k141_13646	11058	64567	0
k141_169401	590	434	927
k141_201798	9	22	5511
k141_155279	469	332	862
k141_130479	29	46	6353
k141_183951	5	28	1450
k141_205620	17	0	1142
k141_219749	6	32	5962
k141_21305	21	73	9896
k141_34984	531	427	870
k141_215429	0	2	1215
k141_70607	37	0	1822
k141_16839	2297	0	0
k141_48726	0	4	1751
k141_58922	2	14	6360
k141_98786	2751	32	2805
k141_13649	48	12	1720
k141_205622	2785	0	0
k141_67364	57	42	8971
k141_84372	3539	7	6566
k141_73851	0	0	7444
k141_31054	2	12	3017
k141_130497	577	370	792
k141_3486	0	2	1591
k141_98797	1	1	1465
k141_127157	16	2	1736
k141_52668	2758	16761	0
k141_225900	3	70	6667
k141_212290	47	126	26218
k141_162412	99	341	2241
k141_95036	155	145	7802
k141_120284	328	301	7454
k141_113169	1513	684	12006
k141_58944	0	27	6439
k141_219803	0	239	2829
k141_67400	0	1	785
k141_183989	0	85	5813
k141_191294	6	39	1525
k141_225903	3897	0	0
k141_155348	12	28	6235
k141_109063	0	0	3710
k141_201838	21	41	10155
k141_134587	12	119	2896
k141_10097	58	296	4158
k141_38199	3	0	3310
k141_162419	0	4	1335
k141_45993	36	3	2132
k141_95045	101	49	4383
k141_141312	284	400	3219
k141_35079	3085	19	2694
k141_165785	0	0	5433
k141_201849	51	20	2493
k141_191295	1	0	6645
k141_24193	142	100	1308
k141_120303	168	98	11359
k141_27760	0	0	5521
k141_137708	8	16	5433
k141_106477	4117	25942	0
k141_52728	1	0	2278
k141_115969	10	22	10800
k141_172824	234	294	2672
k141_148290	3301	19933	5
k141_201877	46	40	2208
k141_27764	7	4	4421
k141_225930	0	32	7497
k141_123582	2129	12795	0
k141_134621	721	353	4781
k141_31142	359	333	11610
k141_219862	4	72	1963
k141_222715	0	5	861
k141_194677	88	70	2415
k141_6610	51	19	2961
k141_180008	13	53	1779
k141_134630	1982	10	2432
k141_151716	6	25	2905
k141_52746	2224	0	0
k141_187579	0	6	2023
k141_73959	143	119	4646
k141_113228	688	433	1193
k141_123594	11	4	1503
k141_70781	1	13	3633
k141_208652	3127	0	5
k141_219890	629	524	16659
k141_109115	3	31	6263
k141_84556	45	114	3167
k141_24217	4048	26287	0
k141_80721	58	377	3888
k141_92009	2	20	1450
k141_46092	4253	16	4275
k141_222717	6399	166	9133
k141_6652	0	0	3526
k141_162521	1	0	4810
k141_127264	85	78	3817
k141_106533	318	444	3637
k141_59058	2	0	1595
k141_48896	1	3	2304
k141_205843	149	323	1716
k141_13847	154	225	5884
k141_134688	3	46	1771
k141_27840	2381	6	2247
k141_151762	198	27	2471
k141_46122	10	0	1432
k141_205846	37	28	3054
k141_16991	0	0	13351
k141_191437	56	195	5054
k141_194754	8	6	1004
k141_48941	96	119	1884
k141_52797	14	71	11613
k141_205852	1	4	3935
k141_162587	1	2	1715
k141_70860	7	2	5807
k141_184196	5	24	5019
k141_202029	0	1	815
k141_127357	152	169	4800
k141_226031	4	1	1896
k141_191457	3572	14	4029
k141_84672	0	0	7982
k141_202035	0	0	1645
k141_35269	15	14	3237
k141_38347	6503	68	6261
k141_155569	1185	493	6581
k141_222789	0	0	8155
k141_172930	3	2	1519
k141_13915	2203	8	6684
k141_162601	63	1	2377
k141_95250	4	48	1458
k141_184205	4	3	4076
k141_202046	0	26	4099
k141_92136	100	99	13189
k141_212527	12	39	1696
k141_27905	8	40	11056
k141_10328	23	57	12213
k141_191481	591	227	4215
k141_151843	171	280	2334
k141_59135	2	5	3181
k141_127398	1	18	3839
k141_198769	61	109	20285
k141_165989	8	67	1845
k141_202054	3660	0	8
k141_84695	173	101	13511
k141_215750	118	57	4759
k141_130738	9	14	1738
k141_80898	1553	986	2250
k141_102571	148	67	13017
k141_208753	322	582	4256
k141_127402	305	368	13183
k141_184243	1	0	4374
k141_151856	1	4	1554
k141_6893	221	190	1438
k141_148491	48	31	3691
k141_38412	2	0	4479
k141_113438	5	26	3754
k141_84725	2632	0	0
k141_59170	3	3	741
k141_10360	4	3	817
k141_194840	109	193	1592
k141_169793	19	14	1964
k141_123798	36	7	5734
k141_226099	134	75	4955
k141_155664	232	256	2412
k141_59173	8	1	5139
k141_130782	0	0	5348
k141_222867	3	1	5086
k141_27978	491	319	763
k141_134898	1	1	1707
k141_191574	0	0	1558
k141_13988	5320	25	4799
k141_49096	1	0	5391
k141_208781	3	2	18808
k141_141665	7	8	3916
k141_99202	2158	0	0
k141_109161	717	451	64279
k141_80974	3714	3	0
k141_116185	4427	26564	0
k141_162621	16587	94	16096
k141_205968	26	74	13005
k141_134912	388	337	11477
k141_88088	14	0	6003
k141_17134	1331	547	6441
k141_198844	32	52	11205
k141_120647	6	69	2151
k141_35413	7	2	6690
k141_38451	393	363	17097
k141_194893	0	0	4767
k141_222874	492	436	19549
k141_127498	156	172	10434
k141_74275	8	26	5098
k141_120654	1026	342	5418
k141_81010	4402	28	1
k141_24417	7	7	5158
k141_99252	0	2	5576
k141_180244	7	10	12764
k141_102689	13	74	2715
k141_198875	53	394	4363
k141_191604	15	66	11858
k141_17146	4981	48	4878
k141_113542	201	417	3211
k141_53025	8	36	5396
k141_215876	0	0	1983
k141_102691	11	4	3956
k141_166151	2822	0	0
k141_212691	8	3	4114
k141_10455	1754	10958	2
k141_84825	184	97	15070
k141_191613	36	25	2231
k141_113569	54	62	3626
k141_194934	7	8	3018
k141_81049	1	0	5608
k141_180260	0	71	5801
k141_169892	11	52	1274
k141_7084	11	74	1733
k141_162690	182	83	7261
k141_10464	49	7	4858
k141_141813	27	9	1353
k141_81072	12	120	6188
k141_28099	0	0	6708
k141_120748	198	158	8162
k141_99306	16	34	6528
k141_109231	592	672	5348
k141_169924	0	0	1845
k141_31527	11	21	13345
k141_10475	11	77	2380
k141_53077	1	52	4650
k141_24502	1993	11763	0
k141_17166	10	68	15933
k141_212734	9	74	3505
k141_173102	145	92	8296
k141_81082	860	461	1098
k141_53083	0	9	3213
k141_84850	216	95	8986
k141_10479	6	63	6870
k141_81104	583	203	3267
k141_102793	259	16	3385
k141_184472	1	4	1562
k141_141872	6	15	6255
k141_109252	4	4	1943
k141_95489	266	181	22424
k141_155907	7	0	3663
k141_102798	2	39	4357
k141_194994	5	70	8876
k141_95498	0	11	3088
k141_28183	354	279	10540
k141_127636	3956	0	0
k141_53108	168	189	4072
k141_216000	5	0	3871
k141_17221	3346	13	2879
k141_59377	3714	51	3606
k141_84916	0	0	1071
k141_116365	0	22	4229
k141_138134	734	1055	9425
k141_148790	2354	10	0
k141_88232	35	4	2836
k141_38582	365	583	5637
k141_49330	0	0	899
k141_102880	1	0	4074
k141_209035	0	51	7999
k141_170092	0	2	1899
k141_202358	93	123	1440
k141_17249	10	37	1583
k141_38588	377	252	760
k141_31637	0	2	1200
k141_188088	4	2	5736
k141_53136	3544	0	0
k141_170097	1	0	1900
k141_127696	0	0	3345
k141_152166	40	42	9715
k141_109329	569	551	16193
k141_10576	3	11	541
k141_184590	28	55	4820
k141_195038	2	1	983
k141_124098	544	199	2892
k141_102909	6	47	2059
k141_24636	1286	400	6401
k141_59423	3080	0	1
k141_202388	140	212	3780
k141_156067	21	5	1338
k141_138167	0	173	12736
k141_223119	12	0	1673
k141_38633	14	18	4239
k141_188131	0	0	831
k141_124123	10	0	3908
k141_184652	542	185	3397
k141_195085	0	71	6160
k141_127765	22	9	1944
k141_138180	14	5	5389
k141_184677	1	25	3943
k141_162960	245	235	10185
k141_124160	0	0	4374
k141_81365	146	253	2154
k141_148924	0	21	3360
k141_109388	61	68	14481
k141_10653	3936	23856	0
k141_127788	3	0	1972
k141_17339	181	189	5949
k141_53240	30	8	1509
k141_226430	120	44	7701
k141_28330	411	319	35830
k141_95748	1791	4	2339
k141_109393	28	33	5503
k141_173305	4	56	1520
k141_223200	2184	0	0
k141_163001	7	43	1480
k141_28339	3	0	2627
k141_213058	590	248	3940
k141_49492	88	49	3735
k141_188210	0	3	1545
k141_166503	0	41	8153
k141_170295	1	0	3566
k141_148975	0	5	1764
k141_131175	0	0	725
k141_127849	20	282	3538
k141_156258	25	34	6378
k141_138224	734	322	9269
k141_116482	14681	94	14190
k141_49524	124	223	4385
k141_85213	7	57	1597
k141_124262	1	0	2177
k141_116492	0	52	4466
k141_17445	0	3	776
k141_138239	5	27	5404
k141_173383	0	21	1284
k141_24834	1	9	3076
k141_223240	57	21	2633
k141_59599	2501	0	0
k141_81551	2471	0	0
k141_88472	17	71	8007
k141_223253	0	0	687
k141_149067	0	8	1125
k141_170426	4	42	7888
k141_95852	14	51	11586
k141_216331	8	7	9645
k141_180682	85	163	4630
k141_81580	42	5	2664
k141_88496	187	39	2404
k141_170430	0	0	10386
k141_173449	5	12	3699
k141_49645	325	338	8987
k141_149122	52	109	2734
k141_88502	13	39	7842
k141_180706	680	259	3409
k141_209380	20	19	4804
k141_49656	2	0	1396
k141_226581	10	74	2693
k141_109592	0	0	4010
k141_163229	105	3	2827
k141_152494	133	110	16643
k141_109598	2	2	1822
k141_223332	2	9	2873
k141_49677	543	214	4318
k141_38919	16	43	10042
k141_166535	597	406	55997
k141_195293	313	493	3574
k141_81694	21	11	5268
k141_116661	2	12	4768
k141_59723	442	705	5400
k141_226619	0	0	3436
k141_109638	3	5	5464
k141_152562	514	15	1836
k141_131401	2547	0	0
k141_166572	787	286	3510
k141_17633	119	59	5020
k141_223389	77	27	3026
k141_59775	3	23	4420
k141_138515	3509	21927	0
k141_39053	4	43	9561
k141_166639	9	11	2332
k141_180883	0	0	3648
k141_226715	1002	313	6251
k141_216594	6	17	6280
k141_226716	71	32	5214
k141_88771	736	310	4392
k141_180997	10	13	3290
k141_166651	4141	1535	24560
k141_181005	124	16	4101
k141_59956	6	52	1737
k141_109857	826	313	5478
k141_223581	138	47	6239
k141_226814	2510	16447	0
k141_59975	1	1	7244
k141_181079	7	26	3745
k141_117013	207	32	2548
k141_223644	939	348	5907
k141_109939	69	37	6105
k141_60021	90	27	8575
k141_226879	0	101	14000
k141_117032	5928	56	5465
k141_223684	0	3	3250
k141_166857	4	0	1907
k141_226884	97	89	14705
k141_117080	8	3	2855
k141_223712	13	87	3512
k141_117173	2	2	1912
k141_117175	3365	10	3191
k141_60303	49	146	23699
k141_60329	2111	12349	0
	8833930	4354503	22916375
