Cluster	EMN001_Fraction_of_Total	PYK001_Fraction_of_Total	TAF017_Fraction_of_Total	VLC001_Fraction_of_Total	EMN001_Fraction_of_Cluster	PYK001_Fraction_of_Cluster	TAF017_Fraction_of_Cluster	VLC001_Fraction_of_Cluster
1	0.0001	0.0085	0.0	0.0644	0.0012	0.117	0.0	0.8818
2	0.0164	0.0425	0.0	0.4527	0.032	0.0831	0.0	0.8848
3	0.0314	0.0098	0.0	0.0339	0.4179	0.1305	0.0	0.4516
4	0.0301	0.0001	0.0	0.0001	0.9944	0.0027	0.0	0.0028
5	0.001	0.0768	0.0	0.2322	0.0031	0.2478	0.0	0.7491
Total	0.079	0.1377	0.0	0.7833				
