SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	ClusterCenterDist
0058	VLC_EMN_TAF_min10k_sorted_md_k141_163001_n1530	1530	1.0	0.0	0.0	0.2186
0059	VLC_EMN_TAF_min10k_sorted_md_k141_104002_n11986	11986	1.0	0.0	0.0	0.1348
0060	VLC_EMN_TAF_min10k_sorted_md_k141_125536_n1035	1035	1.0	0.0	0.0	0.5268
0061	VLC_EMN_TAF_min10k_sorted_md_k141_105177_n6571	6571	1.0	0.0	0.0	0.1097
0062	VLC_EMN_TAF_min10k_sorted_md_k141_205968_n13105	13105	1.0	0.0	0.0	0.1137
0063	VLC_EMN_TAF_min10k_sorted_md_k141_14318_n2736	2736	1.0	0.0	0.0	0.1274
0064	VLC_EMN_TAF_min10k_sorted_md_k141_134688_n1819	1819	1.0	0.0	0.0	0.202
0065	VLC_EMN_TAF_min10k_sorted_md_k141_224956_n2296	2296	1.0	0.0	0.0	0.2409
0066	VLC_EMN_TAF_min10k_sorted_md_k141_42399_n1892	1892	1.0	0.0	0.0	0.1728
0067	VLC_EMN_TAF_min10k_sorted_md_k141_125116_n6808	6808	1.0	0.0	0.0	0.1388
0068	VLC_EMN_TAF_min10k_sorted_md_k141_210363_n3588	3588	1.0	0.0	0.0	0.19
0069	VLC_EMN_TAF_min10k_sorted_md_k141_76975_n2380	2380	1.0	0.0	0.0	0.17
0070	VLC_EMN_TAF_min10k_sorted_md_k141_171661_n4327	4327	1.0	0.0	0.0	0.1269
0071	VLC_EMN_TAF_min10k_sorted_md_k141_53382_n3788	3788	1.0	0.0	0.0	0.1709
0072	VLC_EMN_TAF_min10k_sorted_md_k141_15879_n5426	5426	1.0	0.0	0.0	0.1271
0073	VLC_EMN_TAF_min10k_sorted_md_k141_22544_n1722	1722	1.0	0.0	0.0	0.3055
0074	VLC_EMN_TAF_min10k_sorted_md_k141_157813_n4694	4694	1.0	0.0	0.0	0.1436
0075	VLC_EMN_TAF_min10k_sorted_md_k141_49096_n5391	5391	1.0	0.0	0.0	0.4338
0076	VLC_EMN_TAF_min10k_sorted_md_k141_104776_n6500	6500	1.0	0.0	0.0	0.1276
0077	VLC_EMN_TAF_min10k_sorted_md_k141_163543_n3243	3243	1.0	0.0	0.0	0.5158
0078	VLC_EMN_TAF_min10k_sorted_md_k141_225930_n7524	7524	1.0	0.0	0.0	0.1267
0079	VLC_EMN_TAF_min10k_sorted_md_k141_206880_n10769	10769	1.0	0.0	0.0	0.0917
0080	VLC_EMN_TAF_min10k_sorted_md_k141_175564_n3936	3936	1.0	0.0	0.0	0.1754
0081	VLC_EMN_TAF_min10k_sorted_md_k141_36652_n4191	4191	1.0	0.0	0.0	0.1069
0082	VLC_EMN_TAF_min10k_sorted_md_k141_184243_n4370	4370	1.0	0.0	0.0	0.4524
0083	VLC_EMN_TAF_min10k_sorted_md_k141_120105_n3614	3614	1.0	0.0	0.0	0.1471
0084	VLC_EMN_TAF_min10k_sorted_md_k141_58944_n6464	6464	1.0	0.0	0.0	0.1073
