Reference	EMN001	PYK001	TAF017	VLC001
k141_199553	6	0	42	1939
k141_75380	257	0	4	1453
k141_54082	4	0	4	434
k141_100124	2	0	2	387
k141_203289	0	0	24	2233
k141_157169	4	0	0	533
k141_188970	10	0	1	1250
k141_107156	1657	0	0	0
k141_199554	5	0	1	518
k141_195978	49	0	71	2879
k141_103828	0	0	1	903
k141_167521	193	0	20	1251
k141_22089	0	0	0	336
k141_185332	11	0	0	976
k141_61078	2	0	12	9248
k141_146284	8	0	3	1349
k141_85726	74	0	29	5212
k141_121384	0	0	1	2777
k141_206460	511	0	178	2666
k141_217381	0	0	53	9122
k141_107161	0	0	0	743
k141_29058	7	0	0	1369
k141_132203	0	0	1	1465
k141_139175	4	0	0	726
k141_64586	50	0	2	351
k141_114121	86	0	62	2844
k141_185340	4	0	1	1733
k141_163970	22	0	6	1643
k141_203299	119	0	187	3505
k141_178224	5	0	32	1117
k141_174808	438	0	173	3051
k141_18616	2162	0	0	0
k141_195986	6	0	35	4119
k141_89475	22	0	33	358
k141_167533	9	0	11	676
k141_46860	89	0	43	6801
k141_117898	0	0	0	1501
k141_85741	3	0	15	1212
k141_57340	1	0	0	15447
k141_36352	42	0	56	2627
k141_43503	55	0	19	2862
k141_174812	15	0	0	1118
k141_163985	0	0	0	430
k141_157215	0	0	0	3176
k141_142887	20	0	0	377
k141_82301	271	0	232	7160
k141_153357	100	0	5	663
k141_96663	313	0	249	612
k141_139190	0	0	1	405
k141_149875	1291	0	0	0
k141_210168	151	0	101	5746
k141_50478	1781	0	28	1411
k141_189020	2	0	36	2790
k141_181800	3	0	7	753
k141_128531	10	0	23	5633
k141_174820	0	0	0	629
k141_217410	39	0	0	281
k141_195998	5	0	8	2263
k141_125116	0	0	12	6797
k141_149877	212	0	160	411
k141_32735	2924	0	18	2767
k141_199603	0	0	0	450
k141_110937	4	0	4	474
k141_100166	0	0	0	1538
k141_57346	0	0	0	362
k141_78840	44	0	0	288
k141_107178	1	0	25	5317
k141_61150	0	0	11	1225
k141_68241	6	0	1	2616
k141_203328	17	0	2	1147
k141_220802	14	0	1	758
k141_89481	1	0	1	2726
k141_117923	371	0	165	1232
k141_29095	3	0	2	1240
k141_96676	0	0	0	606
k141_206502	209	0	203	10694
k141_189035	192	0	71	1353
k141_213768	5	0	23	1771
k141_54099	9	0	0	12732
k141_217420	202	0	205	6392
k141_185365	6	0	17	3323
k141_135616	0	0	0	1376
k141_103898	89	0	137	2738
k141_32742	587	0	317	898
k141_14837	9	0	62	2890
k141_71785	0	0	20	1621
k141_146332	5	0	63	7060
k141_54100	1026	0	0	0
k141_100176	1023	0	0	0
k141_174846	68	0	31	6169
k141_50500	7	0	13	870
k141_210193	0	0	0	2080
k141_43543	1	0	1	1531
k141_220825	208	0	154	380
k141_114177	32	0	4	924
k141_40069	4296	0	24984	0
k141_142929	41	0	9	1491
k141_196024	1	0	3	3320
k141_36406	1	0	2	1381
k141_64635	5257	0	0	1
k141_167592	4	0	43	5011
k141_92960	14	0	8	929
k141_46921	6	0	10	313
k141_14838	35	0	5	3857
k141_199640	0	0	0	263
k141_40073	58	0	0	486
k141_181839	0	0	0	770
k141_206521	1931	0	0	0
k141_153374	0	0	122	12003
k141_210210	0	0	0	550
k141_128573	0	0	0	1789
k141_22158	0	0	2	2171
k141_185385	38	0	0	337
k141_199644	1	0	2	412
k141_71811	80	0	71	2231
k141_1101	1	0	0	1172
k141_11472	9	0	50	1432
k141_103931	14	0	5354	0
k141_18713	202	0	214	3922
k141_75515	92	0	20	1257
k141_121477	479	0	166	1488
k141_43563	19	0	4	4285
k141_149929	30	0	0	325
k141_107223	0	0	0	846
k141_82367	0	0	0	823
k141_125136	14	0	55	10664
k141_203343	0	0	36	10070
k141_64664	2	0	0	630
k141_199652	1	0	2	637
k141_139247	2515	0	0	0
k141_224385	0	0	7	2868
k141_43565	44	0	26	1131
k141_171104	675	0	867	8181
k141_121479	0	0	0	3373
k141_1116	101	0	0	533
k141_107229	291	0	84	1487
k141_43568	28	0	7	307
k141_22164	0	0	0	5477
k141_4331	0	0	68	11613
k141_75533	143	0	245	8749
k141_149938	1	0	12	2811
k141_85844	10	0	9	338
k141_11485	93	0	58	6575
k141_167615	3135	0	0	0
k141_100231	40	0	2	394
k141_132327	89	0	13	392
k141_217469	3095	0	19087	1
k141_224393	0	0	0	520
k141_40115	4	0	2	942
k141_57392	602	0	368	837
k141_189067	399	0	813	5592
k141_153380	105	0	69	5031
k141_68318	6	0	11	1479
k141_174927	3	0	0	307
k141_146396	3	0	2	1021
k141_111034	539	0	240	783
k141_61247	591	0	267	3765
k141_46975	2	0	4	788
k141_128603	1	0	0	1009
k141_75545	24	0	0	342
k141_213831	107	0	4	788
k141_11499	3	0	8	335
k141_107230	3113	0	0	0
k141_157354	11	0	51	3527
k141_167620	0	0	0	1458
k141_32832	5	0	29	2327
k141_54125	222	0	98	9532
k141_206584	0	0	20	2239
k141_68321	0	0	0	522
k141_164094	0	0	0	1160
k141_111041	9	0	4	2419
k141_29186	36	0	0	362
k141_7968	3	0	2	1689
k141_1155	1	0	2	1118
k141_75552	8	0	5	403
k141_178351	0	0	4	1679
k141_103991	27	0	2	1038
k141_192547	0	0	38	5343
k141_14887	10	0	45	4966
k141_217488	12	0	0	827
k141_146413	110	0	94	2089
k141_93007	3124	0	0	0
k141_85876	122	0	69	1825
k141_43597	41	0	34	4475
k141_220907	2	0	3	506
k141_210283	5	0	21	1718
k141_135687	0	0	4	9631
k141_164098	1	0	0	5382
k141_11501	0	0	0	1931
k141_118031	7	0	3	682
k141_114255	0	0	1	746
k141_149953	162	0	168	1895
k141_128623	2	0	0	750
k141_171141	143	0	39	1982
k141_111061	3	0	8	312
k141_93008	245	0	35	596
k141_213859	32	0	0	312
k141_57423	49	0	9	1454
k141_206622	10	0	2	1224
k141_189094	0	0	1	7512
k141_1193	1	0	1	809
k141_46996	776	0	485	1225
k141_125205	4	0	0	3078
k141_107255	5	0	3	2807
k141_199713	0	0	0	2039
k141_96819	2386	0	9	2287
k141_78930	264	0	100	9412
k141_174969	8	0	16	2696
k141_203401	7	0	33	9315
k141_220923	4	0	1	716
k141_64761	1	0	13	667
k141_22244	1479	0	24	1551
k141_36537	0	0	4	1601
k141_132373	3337	0	19902	0
k141_89616	0	0	3	1079
k141_181951	19	0	12	2105
k141_185487	0	0	1	481
k141_11539	17	0	13	573
k141_114261	0	0	0	1200
k141_167675	94	0	280	2015
k141_96823	0	0	2	1006
k141_143054	0	0	45	6235
k141_164127	2	0	0	1517
k141_78936	131	0	38	2169
k141_47009	15	0	45	742
k141_50623	5	0	0	326
k141_178382	8	0	15	3164
k141_199717	0	0	2	1870
k141_8005	13	0	277	2624
k141_118062	0	0	21	3141
k141_1214	0	0	0	777
k141_192601	30	0	0	349
k141_217531	51	0	1	335
k141_96825	151	0	87	4006
k141_203421	8	0	32	892
k141_104002	2	0	85	11898
k141_89618	1	0	5	2632
k141_100304	185	0	186	7819
k141_75612	5	0	92	1685
k141_160676	30	0	55	9309
k141_29234	2	0	14	3014
k141_107285	43	0	3	1405
k141_22247	48	0	449	5960
k141_224458	0	0	0	407
k141_71907	1	0	0	526
k141_47017	51	0	0	393
k141_210339	877	0	71	2000
k141_57448	39	0	0	292
k141_85927	1817	0	0	0
k141_14924	93	0	22	268
k141_213896	413	0	267	701
k141_96827	88	0	171	8943
k141_181970	43	0	64	2036
k141_178390	7	0	1	478
k141_22251	24	0	0	838
k141_50632	17	0	7	2129
k141_4420	0	0	0	1033
k141_54192	19	0	2	2136
k141_18855	3	0	2	928
k141_64809	9	0	15	2274
k141_189152	0	0	24	2242
k141_206678	0	0	0	409
k141_203443	110	0	111	2427
k141_199736	73	0	83	2167
k141_121553	2582	0	0	0
k141_54193	5	0	1	2510
k141_8027	0	0	0	718
k141_96835	24	0	14	1102
k141_43677	16	0	22	375
k141_36562	0	0	4	1097
k141_64811	10	0	14	698
k141_157386	91	0	192	26295
k141_150004	1	0	1	1412
k141_104029	250	0	170	5827
k141_213904	0	0	0	1181
k141_167684	940	0	572	1426
k141_224481	24	0	33	2043
k141_220972	0	0	0	461
k141_61370	19	0	0	1664
k141_128689	36	0	24	1351
k141_160692	511	0	412	792
k141_192627	736	0	403	4846
k141_32925	8	0	0	2449
k141_11585	7	0	0	3561
k141_185522	1	0	26	4184
k141_61371	74	0	114	1975
k141_217568	2	0	9	282
k141_118092	5	0	23	2485
k141_164150	488	0	156	4089
k141_82510	0	0	2	1024
k141_220975	2	0	26	637
k141_14935	609	0	224	4867
k141_210363	4	0	32	3552
k141_178406	0	0	60	4009
k141_199746	2	0	4	673
k141_1259	62	0	14	842
k141_125249	1053	0	718	24458
k141_111162	7	0	0	509
k141_153512	3	0	1	587
k141_167703	3	0	14	1478
k141_68431	2	0	16	680
k141_171227	30	0	0	292
k141_189165	86	0	41	3644
k141_96840	241	0	182	2207
k141_22290	9	0	2	1321
k141_107329	1249	0	8016	0
k141_196219	4	0	40	3283
k141_146501	0	0	46	6391
k141_132426	684	0	185	1702
k141_135788	787	0	311	7624
k141_175056	9	0	2	1553
k141_121584	2	0	1	1117
k141_185525	5	0	72	4431
k141_75628	20	0	12	10494
k141_224493	100	0	95	4786
k141_157430	8	0	0	355
k141_1272	0	0	26	291
k141_128690	8	0	17	6082
k141_118107	60	0	65	8758
k141_178417	0	0	0	489
k141_125262	3	0	23	846
k141_8063	29	0	16	1466
k141_210369	276	0	266	11143
k141_189176	4	0	12	1458
k141_78995	13	0	9	1996
k141_4465	0	0	3	277
k141_36594	1533	0	11	1445
k141_43707	2715	0	15829	1
k141_111181	0	0	0	1004
k141_18896	48	0	3	470
k141_75638	0	0	23	346
k141_50669	53	0	36	1506
k141_160724	0	0	5	325
k141_224495	0	0	0	308
k141_167722	3	0	16	670
k141_210372	28	0	0	288
k141_85993	67	0	23	1185
k141_150008	1459	0	557	7657
k141_32951	117	0	17	2589
k141_171251	4	0	0	2719
k141_14958	4	0	16	3284
k141_203521	1	0	0	989
k141_71986	4	0	9	382
k141_18918	10	0	0	1908
k141_8070	100	0	10	2713
k141_132456	2882	0	0	0
k141_178435	3	0	0	1032
k141_153537	0	0	0	412
k141_210378	3	0	3	621
k141_47100	2	0	0	3230
k141_139439	1	0	1	1803
k141_22326	177	0	241	9663
k141_199787	379	0	175	2727
k141_32964	261	0	106	1431
k141_68446	255	0	420	11809
k141_206764	1	0	3	834
k141_217628	10	0	21	2017
k141_125281	4831	0	59	3858
k141_139443	194	0	132	4768
k141_167745	3	0	5	2097
k141_175096	7	0	43	1410
k141_54294	1734	0	6	1567
k141_143163	3	0	0	2110
k141_50708	106	0	151	1912
k141_100317	11	0	133	24350
k141_185577	12	0	15	1239
k141_71990	1	0	26	3383
k141_213966	337	0	291	9800
k141_89711	538	0	371	998
k141_14970	556	0	186	2414
k141_18928	8	0	76	2093
k141_93146	246	0	89	1695
k141_104137	191	0	19	2387
k141_160766	2	0	1	1658
k141_11598	11139	0	124	11761
k141_4489	12	0	104	2635
k141_47114	0	0	2	1179
k141_75679	1	0	3	1392
k141_36632	13	0	3	4091
k141_153559	2	0	0	2195
k141_217655	0	0	1	1480
k141_132460	0	0	0	12192
k141_57543	82	0	89	6039
k141_203560	0	0	0	364
k141_206777	419	0	211	3317
k141_196302	40	0	1	751
k141_125305	30	0	3	980
k141_192731	14	0	0	902
k141_75681	31	0	137	1759
k141_199817	3	0	0	847
k141_18948	138	0	64	1097
k141_54310	0	0	0	2565
k141_32991	0	0	2	875
k141_71997	0	0	0	1991
k141_82609	1	0	12	729
k141_29357	0	0	0	854
k141_121644	37	0	74	2888
k141_8072	177	0	101	14481
k141_75683	0	0	0	355
k141_146576	0	0	65	5297
k141_86032	1	0	0	603
k141_132469	326	0	93	1593
k141_93148	132	0	73	6665
k141_118153	106	0	62	4397
k141_206781	3	0	29	1324
k141_22362	79	0	198	1505
k141_68480	0	0	9	667
k141_11618	2	0	2	1223
k141_160782	0	0	0	3335
k141_14994	0	0	0	1314
k141_64934	16	0	55	10135
k141_185613	39	0	0	395
k141_96941	23	0	38	5953
k141_47136	110	0	11	1592
k141_89731	276	0	302	3591
k141_175132	2701	0	0	0
k141_182108	42	0	0	391
k141_153570	52	0	29	5143
k141_100366	1418	0	8614	0
k141_107418	13	0	0	554
k141_54337	10	0	15	284
k141_192753	10	0	33	1992
k141_93166	88	0	79	2378
k141_171310	4325	0	86	4713
k141_4526	60	0	22	2499
k141_79095	10	0	2	1492
k141_160794	1260	0	0	0
k141_82612	16	0	24	8629
k141_1378	0	0	0	643
k141_182119	60	0	47	1869
k141_167813	213	0	143	5056
k141_206786	1	0	29	6113
k141_125341	104	0	83	3432
k141_36652	4	0	6	4176
k141_47156	13	0	3	820
k141_213974	427	0	731	5156
k141_132499	5	0	10	1699
k141_75732	173	0	0	633
k141_139475	6774	0	42	5919
k141_153592	12	0	1	687
k141_217718	1	0	3	1277
k141_104188	14	0	2	1324
k141_43823	7	0	49	1208
k141_157583	67	0	0	469
k141_64968	0	0	0	330
k141_203618	5	0	0	823
k141_8119	1306	0	20	0
k141_118181	3	0	9	2593
k141_175139	243	0	285	2807
k141_164291	10	0	1	730
k141_25683	1600	0	1051	149807
k141_146619	0	0	0	418
k141_224570	0	0	26	4990
k141_33023	88	0	46	6225
k141_160816	9	0	10	1105
k141_189330	0	0	0	520
k141_203623	0	0	0	429
k141_96984	0	0	5	317
k141_1380	808	0	612	1236
k141_150092	1	0	0	1767
k141_29412	1	0	0	901
k141_43839	11	0	4	1885
k141_19013	1	0	0	1683
k141_111240	2075	0	738	15437
k141_4539	146	0	174	4132
k141_93174	57	0	23	2636
k141_104194	0	0	0	1470
k141_15039	1305	0	0	1
k141_199853	23	0	50	6272
k141_175148	12	0	3	1144
k141_192788	11	0	7	938
k141_203629	6	0	0	802
k141_150093	14	0	15	1050
k141_54368	11	0	20	521
k141_89766	1807	0	10724	0
k141_160821	144	0	259	3679
k141_206813	0	0	0	1344
k141_64973	14	0	17	5946
k141_82642	0	0	0	377
k141_11673	2191	0	29	1904
k141_196388	131	0	13	1731
k141_43854	0	0	0	1467
k141_50814	91	0	18	322
k141_111258	1	0	1	905
k141_15043	1	0	1	1268
k141_8155	13	0	3	781
k141_224591	12	0	3	781
k141_171345	60	0	0	428
k141_143228	723	0	94	10121
k141_40443	678	0	481	4413
k141_4556	1780	0	1	0
k141_93192	14	0	5	1390
k141_160830	0	0	2	422
k141_25717	32	0	0	284
k141_86078	20	0	7	1244
k141_214006	296	0	316	11354
k141_206815	0	0	0	663
k141_139494	14	0	216	3292
k141_217760	2	0	23	1255
k141_43857	20	0	0	1048
k141_64984	0	0	0	1060
k141_185641	8	0	74	11556
k141_203643	5	0	1	1655
k141_175181	4	0	7	319
k141_4561	0	0	10	1796
k141_164325	20	0	21	701
k141_29446	312	0	135	378
k141_40452	0	0	0	1194
k141_132526	5177	0	31	4874
k141_50833	281	0	240	467
k141_72058	4	0	67	6523
k141_1420	14	0	18	1303
k141_8161	0	0	3	935
k141_210518	0	0	0	498
k141_192813	6	0	3	3352
k141_107436	0	0	1	12719
k141_224596	7	0	3	1948
k141_128810	2994	0	18145	0
k141_43869	15	0	0	693
k141_93207	153	0	54	1162
k141_40462	0	0	0	509
k141_217778	24	0	34	2249
k141_221132	0	0	0	4969
k141_29457	0	0	18	2263
k141_15057	7	0	0	2365
k141_36717	5021	0	0	0
k141_57654	18	0	3	2475
k141_178568	5	0	180	3301
k141_11704	15	0	1	2462
k141_25732	9	0	51	2092
k141_40467	6	0	25	1365
k141_61616	1	0	0	862
k141_75818	0	0	1	689
k141_104263	0	0	24	2520
k141_111297	55	0	8	5970
k141_132557	1596	0	0	3
k141_33119	0	0	0	1912
k141_185665	0	0	1	826
k141_153664	2	0	0	3231
k141_19083	58	0	0	528
k141_125379	1	0	2	19624
k141_50845	2693	0	16797	0
k141_54393	352	0	400	7541
k141_175231	0	0	0	851
k141_93211	0	0	17	4055
k141_72095	1	0	8	2463
k141_157658	135	0	46	4119
k141_104270	387	0	44	2969
k141_203685	4	0	14	265
k141_25749	4	0	17	3029
k141_82701	5	0	15	765
k141_47223	35	0	16	1754
k141_1468	4	0	7	2734
k141_146682	3	0	12	1990
k141_160889	0	0	0	1266
k141_221157	5	0	0	351
k141_8206	8	0	2	2043
k141_97079	1117	0	0	0
k141_150169	164	0	75	1482
k141_19090	2111	0	0	0
k141_43893	4	0	0	2791
k141_29465	13	0	1	9041
k141_178599	184	0	112	5260
k141_164368	34	0	17	1736
k141_153682	42	0	0	425
k141_61648	6	0	16	1749
k141_50872	0	0	0	403
k141_192868	1	0	0	585
k141_125398	135	0	5	2778
k141_182223	98	0	767	9579
k141_11747	1	0	1	807
k141_86140	9	0	11	330
k141_132603	8	0	3	1574
k141_54418	67	0	36	780
k141_171415	53	0	21	1293
k141_89836	1	0	1	13447
k141_146688	9	0	52	2864
k141_199944	2	0	20	694
k141_210537	60	0	27	13512
k141_68630	709	0	593	1352
k141_128869	6	0	1	816
k141_121768	31	0	9	1279
k141_139549	0	0	0	951
k141_217840	166	0	436	1814
k141_86149	1369	0	0	3
k141_61666	26	0	0	2005
k141_75832	7059	0	32	6490
k141_107486	5	0	39	1490
k141_114359	654	0	477	61616
k141_11761	0	0	0	1321
k141_33183	35	0	89	3481
k141_189454	1	0	14	4234
k141_175257	9	0	40	9212
k141_1523	4	0	6	882
k141_224637	0	0	0	2343
k141_160920	27	0	5	1851
k141_47235	2	0	2	3023
k141_139553	3	0	8	792
k141_217845	4	0	17	915
k141_75838	16	0	7	923
k141_178612	44	0	27	1849
k141_97108	1	0	11	1519
k141_128876	1	0	8	308
k141_104320	1758	0	0	1
k141_192897	0	0	0	1195
k141_167847	470	0	302	36065
k141_217848	5	0	2	1122
k141_221191	4	0	31	2410
k141_118319	3	0	2	8844
k141_185691	17	0	34	7552
k141_107496	67	0	44	2919
k141_43924	784	0	331	4107
k141_175270	81	0	15	394
k141_164408	129	0	101	3592
k141_214043	14	0	100	15964
k141_40554	86	0	120	12891
k141_93262	0	0	1	895
k141_57716	7	0	11	1116
k141_68651	7	0	2	1022
k141_217850	84	0	66	1813
k141_150211	35	0	27	1680
k141_143347	5	0	63	5556
k141_1534	112	0	13	371
k141_167856	2	0	14	1272
k141_203745	0	0	0	1867
k141_75860	134	0	171	5360
k141_93264	50	0	0	1496
k141_206880	55	0	41	10677
k141_54469	0	0	0	607
k141_29485	2	0	1	5223
k141_178621	459	0	172	2890
k141_121801	2	0	6	1432
k141_33207	0	0	0	1931
k141_22510	1379	0	509	12309
k141_19167	16	0	4	920
k141_89886	13	0	6	2031
k141_1544	6	0	0	683
k141_171451	5	0	5	542
k141_185704	1	0	2	1258
k141_175284	41	0	28	3951
k141_107513	33	0	8	1219
k141_43929	3217	0	19102	0
k141_192922	81	0	130	2691
k141_15146	83	0	8	483
k141_75875	2	0	7	936
k141_68669	100	0	102	2174
k141_160935	58	0	28	3366
k141_196539	0	0	1	635
k141_189475	1191	0	502	5643
k141_111405	7	0	8	4017
k141_139578	0	0	0	963
k141_11818	1586	0	44	1456
k141_175286	25	0	2	1688
k141_97143	9	0	1	1252
k141_43933	1	0	0	2089
k141_217874	128	0	153	2868
k141_150234	11	0	32	1774
k141_125469	77	0	57	2661
k141_128916	3	0	2	1707
k141_8287	35	0	8	2518
k141_189479	13	0	24	441
k141_157759	4	0	6	4554
k141_50954	23	0	9	1428
k141_33222	193	0	293	10211
k141_82799	461	0	316	9688
k141_153758	0	0	2	1123
k141_182294	47	0	17	3375
k141_104370	77	0	2	553
k141_118377	0	0	8	726
k141_150237	1	0	3	297
k141_167892	11	0	0	448
k141_107524	28	0	4	3336
k141_54516	6	0	27	756
k141_210605	1	0	22	1251
k141_164445	1	0	0	1352
k141_132693	31	0	43	2083
k141_114402	7	0	20	3161
k141_4735	2	0	3	2640
k141_214082	19	0	1	2415
k141_200006	18	0	379	4854
k141_43934	0	0	0	5189
k141_72201	0	0	2	925
k141_221207	6	0	1	8953
k141_146708	2	0	78	14929
k141_93284	680	0	251	4539
k141_65159	399	0	285	6692
k141_189490	3	0	0	1016
k141_104374	1	0	22	1571
k141_121806	22	0	28	3483
k141_153760	1684	0	0	0
k141_203786	165	0	234	1872
k141_200010	35	0	11	393
k141_79245	11	0	56	7795
k141_33237	0	0	32	857
k141_111430	33	0	33	1917
k141_217898	156	0	177	5396
k141_4739	0	0	34	2372
k141_114408	0	0	2	1154
k141_128935	0	0	3	431
k141_25875	2	0	1	1386
k141_182300	5	0	16	4576
k141_171492	0	0	0	1427
k141_61749	1	0	0	891
k141_75894	544	0	182	4899
k141_167908	38	0	0	261
k141_160969	91	0	0	362
k141_185765	0	0	2	735
k141_57765	4	0	40	2706
k141_22544	7	0	2	1714
k141_25877	48	0	0	1199
k141_43938	0	0	0	1159
k141_206926	2	0	6	4392
k141_111441	40	0	0	346
k141_139621	0	0	0	216
k141_82813	15	0	16	5520
k141_68720	0	0	1	419
k141_153765	2	0	0	1002
k141_54539	7	0	5	2390
k141_114411	3	0	1	1662
k141_111446	3	0	15	1249
k141_150263	27	0	2	2245
k141_15205	0	0	0	648
k141_189508	0	0	0	628
k141_47239	10	0	16	18118
k141_192996	21	0	0	670
k141_203818	102	0	62	1493
k141_175339	145	0	395	1832
k141_214100	959	0	509	1384
k141_221230	4	0	2	807
k141_118407	405	0	193	534
k141_97203	0	0	1	751
k141_33252	539	0	173	4008
k141_182323	1	0	0	670
k141_128954	0	0	12	2240
k141_107542	3	0	17	4801
k141_19253	0	0	0	3212
k141_54550	2	0	2	522
k141_82823	37	0	22	1841
k141_22553	467	0	146	2709
k141_160982	1490	0	0	1
k141_217932	5	0	0	600
k141_75909	13	0	92	3081
k141_125530	6	0	3	3943
k141_171521	226	0	155	5184
k141_153773	93	0	129	2909
k141_97209	4	0	5	768
k141_157813	13	0	13	4657
k141_175342	2644	0	11	2565
k141_100613	7659	0	50	7110
k141_1630	2361	0	0	0
k141_206951	0	0	2	773
k141_193006	18	0	28	3721
k141_160984	1433	0	0	0
k141_121827	276	0	191	10612
k141_189536	15	0	241	2466
k141_128967	25	0	7	945
k141_136170	12	0	1	1144
k141_43939	3	0	8	2242
k141_143441	0	0	0	882
k141_111463	22	0	4	1733
k141_107552	1450	0	7898	0
k141_185801	38	0	0	392
k141_132756	138	0	28	1761
k141_19264	29	0	3	1122
k141_79259	228	0	279	2896
k141_65226	1	0	0	1840
k141_82824	214	0	22	4426
k141_72206	1645	0	633	10553
k141_86254	2031	0	15	1859
k141_125536	0	0	3	1032
k141_43941	10	0	14	419
k141_1631	27	0	3	1710
k141_217954	4	0	1	821
k141_15248	429	0	6572	0
k141_107554	0	0	5	2261
k141_175363	120	0	21	469
k141_4759	1	0	0	4763
k141_29499	9	0	11	10166
k141_22571	307	0	354	439
k141_121836	5	0	25	1190
k141_196628	32	0	563	6041
k141_111468	1894	0	0	0
k141_75938	1	0	0	744
k141_93331	764	0	268	3785
k141_40661	509	0	674	5802
k141_97222	1	0	32	5199
k141_224711	7738	0	67	8142
k141_185817	31	0	14	1585
k141_125542	5	0	16	4846
k141_72216	0	0	0	924
k141_153792	2	0	23	2647
k141_104465	199	0	175	6349
k141_164516	306	0	138	2444
k141_54585	0	0	37	5707
k141_82850	7	0	1	3514
k141_107568	1	0	2	2136
k141_178698	3477	0	21154	1
k141_200086	0	0	0	576
k141_65255	166	0	122	4038
k141_210697	0	0	1	4127
k141_171551	20	0	22	280
k141_68742	8145	0	46	7700
k141_143476	74	0	9	1164
k141_29517	59	0	2	1268
k141_157879	0	0	0	1147
k141_100645	2	0	18	849
k141_185821	36	0	33	2118
k141_19286	193	0	61	1787
k141_1649	8	0	9	3017
k141_93350	95	0	18	605
k141_22587	0	0	0	3171
k141_114486	65	0	143	3183
k141_43972	2	0	11	931
k141_104468	0	0	0	981
k141_111493	99	0	114	2508
k141_125550	8	0	17	293
k141_206982	7	0	12	3868
k141_29518	57	0	7	1082
k141_132778	1413	0	501	5983
k141_15275	0	0	16	829
k141_193030	9	0	33	4256
k141_185825	0	0	0	1611
k141_171557	418	0	226	642
k141_22588	3	0	1	253
k141_11965	0	0	0	1192
k141_86279	6	0	23	3856
k141_153810	41	0	84	1864
k141_93355	17	0	0	834
k141_217994	88	0	78	3909
k141_36787	1038	0	1286	12163
k141_175394	41	0	38	6631
k141_51027	366	0	300	3411
k141_125557	40	0	16	564
k141_11969	19	0	2	817
k141_8324	2922	0	1315	17804
k141_25980	16	0	5	894
k141_19297	0	0	4	1001
k141_72250	2	0	0	849
k141_129007	76	0	140	2138
k141_118484	3	0	119	5383
k141_68744	13	0	39	8327
k141_75990	2	0	2	893
k141_82870	2718	0	0	0
k141_171564	0	0	0	544
k141_121876	16	0	0	793
k141_107595	140	0	21	349
k141_43999	0	0	0	457
k141_1672	100	0	61	1593
k141_11974	25	0	39	1807
k141_125562	1	0	2	983
k141_8326	365	0	216	500
k141_93368	0	0	0	482
k141_79309	231	0	159	6328
k141_4804	4	0	1	537
k141_1674	20	0	7	262
k141_153818	0	0	4	751
k141_51033	1758	0	10807	0
k141_104496	13	0	2	1060
k141_54635	5	0	12	1225
k141_82873	16	0	32	523
k141_97297	0	0	34	306
k141_221282	1	0	62	11495
k141_36797	0	0	1	1349
k141_224734	1	0	1	2026
k141_125563	161	0	12	2332
k141_47331	12	0	64	1578
k141_118496	11	0	27	357
k141_160995	11007	0	65	10441
k141_15295	3	0	2	1396
k141_185860	78	0	0	2425
k141_203909	32	0	11	6894
k141_168002	0	0	113	8402
k141_107607	35	0	55	2723
k141_129029	0	0	2	429
k141_104497	27	0	472	5641
k141_19336	6	0	0	610
k141_65335	0	0	4	1477
k141_79334	5	0	27	790
k141_118504	0	0	0	657
k141_47344	264	0	188	476
k141_40752	29	0	46	2812
k141_104498	8	0	5	2040
k141_8341	166	0	421	1995
k141_68756	7	0	6	3469
k141_203914	6	0	36	1256
k141_90037	2187	0	788	13608
k141_125578	54	0	135	3957
k141_157952	99	0	58	3990
k141_129040	0	0	1	510
k141_100703	0	0	0	5118
k141_54642	14	0	8	6664
k141_82904	113	0	85	2333
k141_182376	76	0	148	25810
k141_150411	1	0	0	284
k141_97308	922	0	350	4593
k141_93401	4	0	0	963
k141_118509	14	0	25	2865
k141_100705	41	0	96	1722
k141_157961	45	0	0	456
k141_189663	1402	0	536	7004
k141_97315	15	0	2	1713
k141_15322	24	0	7	1910
k141_139667	498	0	321	33048
k141_107613	0	0	0	8332
k141_136256	0	0	1	9000
k141_161022	718	0	461	18567
k141_26049	0	0	8	450
k141_175507	3	0	1	352
k141_214240	298	0	285	8423
k141_221296	1108	0	1029	1576
k141_1727	0	0	0	458
k141_224749	1026	0	947	1731
k141_54649	31	0	13	1990
k141_129048	112	0	115	5575
k141_104523	1	0	8	354
k141_44073	7	0	25	1588
k141_218055	0	0	19	6159
k141_40789	0	0	0	539
k141_97318	3	0	12	1704
k141_29589	0	0	0	2775
k141_139671	43	0	13	1808
k141_57921	3038	0	0	0
k141_146878	0	0	0	5630
k141_15326	82	0	19	422
k141_143585	0	0	0	890
k141_185901	18	0	0	1543
k141_224757	0	0	0	731
k141_157971	11	0	38	6243
k141_65370	1	0	32	584
k141_36846	5	0	26	1544
k141_1753	3	0	3	613
k141_54668	12	0	0	1441
k141_207084	8	0	3	972
k141_129054	5	0	2	1260
k141_132912	41	0	21	821
k141_72327	0	0	0	3661
k141_107629	0	0	11	2073
k141_168062	0	0	3	650
k141_171582	1930	0	716	12459
k141_189667	9	0	48	5883
k141_193094	13	0	85	8187
k141_26069	0	0	1	1232
k141_118539	14	0	143	2035
k141_139685	0	0	0	485
k141_150447	1	0	1	883
k141_61979	382	0	248	618
k141_76114	107	0	51	1571
