Reference	EMN001	PYK001	TAF017	VLC001
k141_32147	3	0	18	2036
k141_67621	0	0	0	3383
k141_184886	35	0	7	829
k141_209677	24	0	14	1072
k141_35654	1	0	0	856
k141_56961	0	0	0	2375
k141_152852	4	0	0	512
k141_149354	0	0	0	903
k141_3672	21	0	2	2588
k141_81774	382	0	284	33258
k141_128021	28	0	0	1248
k141_10861	0	0	0	416
k141_223871	0	0	0	4977
k141_103210	27	0	27	4455
k141_92468	1482	0	39	867
k141_120907	0	0	2	964
k141_60514	0	0	2	398
k141_113786	153	0	159	5597
k141_99640	56	0	40	1612
k141_131606	678	0	473	949
k141_39321	3	0	40	2128
k141_49893	9	0	14	640
k141_181262	0	0	0	774
k141_7275	0	0	0	1121
k141_17965	41	0	402	5859
k141_163461	0	0	19	2022
k141_188381	701	0	510	911
k141_117374	9	0	0	478
k141_32157	0	0	1	4896
k141_92470	0	0	0	432
k141_152859	133	0	114	4691
k141_106671	108	0	65	15139
k141_159979	7	0	4	971
k141_25114	0	0	0	6473
k141_53417	1497	0	620	9360
k141_81787	2	0	20	2012
k141_113787	1721	0	0	0
k141_60525	20	0	0	254
k141_46280	184	0	75	1562
k141_216834	0	0	11	4509
k141_14318	0	0	3	2748
k141_138681	1	0	0	15226
k141_110335	2	0	0	943
k141_220332	24	0	2	4118
k141_195527	335	0	398	19154
k141_152861	6	0	4	517
k141_145804	1962	0	11872	0
k141_67637	3379	0	28	3292
k141_167092	10	0	23	4518
k141_106674	1524	0	7	1248
k141_56966	0	0	0	2841
k141_17977	4	0	32	2060
k141_88992	852	0	351	5569
k141_92478	0	0	0	861
k141_199049	0	0	0	438
k141_103241	297	0	203	7439
k141_142260	4	0	3	1942
k141_110343	1	0	17	3014
k141_195532	3	0	1	1335
k141_184929	1210	0	0	2
k141_213220	33	0	67	10939
k141_177783	1445	0	0	3
k141_128039	1	0	0	7362
k141_163477	1	0	7	718
k141_223906	11	0	0	266
k141_124536	0	0	20	1201
k141_216863	326	0	6	1343
k141_170660	2	0	0	892
k141_174258	19	0	26	9838
k141_120944	7	0	2	1249
k141_195542	0	0	1	819
k141_39370	77	0	54	2759
k141_28564	5	0	2	914
k141_142277	1	0	2	670
k141_46287	1031	0	409	5153
k141_191946	90	0	38	6758
k141_96034	10760	0	107	10422
k141_181311	33	0	14	407
k141_18004	102	0	117	3855
k141_160002	96	0	119	3378
k141_53443	173	0	249	8686
k141_184932	5	0	33	4974
k141_81816	2142	0	33	2212
k141_32176	146	0	574	7182
k141_49939	1138	0	33	1335
k141_135154	1110	0	0	0
k141_223912	1	0	0	3494
k141_152893	0	0	0	458
k141_25154	0	0	3	2188
k141_170665	3	0	0	933
k141_167120	162	0	151	347
k141_103253	3616	0	22375	0
k141_28569	329	0	300	396
k141_60552	0	0	0	9990
k141_117418	10	0	2	956
k141_202700	5	0	4	452
k141_99665	961	0	772	1497
k141_220352	404	0	270	614
k141_206184	6	0	55	9979
k141_89021	13	0	7	1132
k141_199079	13	0	20	2209
k141_120952	9	0	0	2955
k141_209729	49	0	12	296
k141_14345	55	0	21	1778
k141_124554	2	0	9	306
k141_188423	302	0	413	3753
k141_56979	391	0	327	11946
k141_156584	2	0	0	900
k141_142302	1480	0	0	0
k141_177816	29	0	4	3274
k141_74859	3836	0	22921	0
k141_110381	37	0	6	2154
k141_7334	568	0	384	779
k141_209732	71	0	0	554
k141_99681	29	0	91	1732
k141_53476	5	0	2	746
k141_223938	0	0	0	832
k141_3732	183	0	261	2571
k141_18049	9	0	0	657
k141_184964	3	0	0	2094
k141_206208	1	0	0	419
k141_7339	39	0	1	321
k141_191975	3	0	30	855
k141_81842	65	0	23	1309
k141_28572	1	0	0	2763
k141_46332	0	0	4	1430
k141_138747	290	0	178	1084
k141_64056	142	0	152	26852
k141_195590	259	0	112	3301
k141_128059	5567	0	24938	0
k141_21588	0	0	1	889
k141_18050	584	0	3	659
k141_202724	57	0	1	382
k141_106724	1695	0	10461	1
k141_10917	0	0	129	9753
k141_25199	0	0	2	1314
k141_177833	0	0	3	833
k141_174318	110	0	229	4574
k141_213240	364	0	578	4110
k141_156606	0	0	1	618
k141_181340	88	0	598	5939
k141_113862	208	0	233	6342
k141_103313	1	0	0	770
k141_81854	6	0	3	463
k141_184974	4	0	7	658
k141_35788	2	0	1	6490
k141_206223	0	0	26	278
k141_167160	0	0	46	4490
k141_42898	0	0	0	723
k141_18065	73	0	120	4713
k141_124599	5	0	7	734
k141_160063	1440	0	7686	0
k141_220398	455	0	384	822
k141_81859	60	0	65	1425
k141_174339	132	0	11	393
k141_35790	2	0	1	2483
k141_167167	0	0	0	2379
k141_67740	24	0	11	1432
k141_46358	3	0	2	1017
k141_92565	3	0	0	550
k141_163543	4	0	23	3155
k141_124601	0	0	0	827
k141_216954	32	0	8	2798
k141_99688	5427	0	46	5468
k141_138757	7	0	28	7404
k141_199124	3741	0	30	3247
k141_128090	4	0	0	810
k141_85419	515	0	339	42123
k141_184980	2366	0	0	0
k141_223975	1164	0	0	0
k141_110394	640	0	235	8865
k141_71264	15	0	4	1825
k141_35797	275	0	7055	0
k141_206238	16	0	2	2515
k141_42917	0	0	0	1926
k141_113883	17	0	3	1695
k141_149460	7	0	74	5055
k141_216955	40	0	14	1634
k141_145906	252	0	6	3907
k141_138760	61	0	95	1879
k141_106754	1172	0	0	0
k141_174355	0	0	23	5099
k141_67755	69	0	20	2069
k141_181377	404	0	174	2347
k141_213271	2	0	0	851
k141_142371	0	0	7	1818
k141_202769	499	0	1	1874
k141_71271	11	0	5	1642
k141_461	2	0	2	687
k141_113886	13	0	3	673
k141_103338	608	0	225	4535
k141_160088	0	0	35	2104
k141_124619	106	0	99	2459
k141_39489	0	0	18	2921
k141_177869	0	0	4	757
k141_78414	133	0	19	1629
k141_96121	2517	0	15	2548
k141_25249	158	0	72	3180
k141_60629	6	0	37	2395
k141_110409	9	0	71	1546
k141_192022	0	0	0	7394
k141_202778	66	0	53	1995
k141_28623	11	0	32	4805
k141_138772	0	0	1	458
k141_471	16	0	0	581
k141_177871	32	0	14	896
k141_160092	77	0	103	3392
k141_223994	13	0	1	958
k141_216966	6	0	39	2317
k141_152974	0	0	1	2700
k141_39508	0	0	1	682
k141_7408	0	0	0	689
k141_60637	0	0	15	2123
k141_110410	113	0	130	3560
k141_156699	7	0	1	1679
k141_81896	27	0	270	4094
k141_89078	357	0	445	5865
k141_117491	215	0	292	2962
k141_46383	8	0	5	1625
k141_145924	0	0	0	2186
k141_209794	684	0	211	3826
k141_188541	0	0	2	508
k141_195676	2	0	1	570
k141_67768	3121	0	8	3029
k141_174391	14	0	0	658
k141_199159	5	0	2	1488
k141_156706	89	0	136	4159
k141_181418	0	0	4	535
k141_92608	15	0	5	1247
k141_18144	57	0	91	2216
k141_46386	6	0	11	624
k141_81913	45	0	0	319
k141_3829	223	0	83	1363
k141_124660	4	0	4	905
k141_42973	0	0	49	5678
k141_11038	116	0	71	2556
k141_138798	8	0	3	345
k141_145931	3	0	43	4037
k141_220449	1	0	6	4714
k141_131803	12	0	23	5669
k141_188553	5	0	1	848
k141_202793	1	0	32	6490
k141_85450	10	0	8	7391
k141_39540	1	0	0	648
k141_32348	0	0	12	2566
k141_106802	40	0	27	2033
k141_64188	390	0	143	2307
k141_92620	39	0	6	2522
k141_224012	2	0	0	2041
k141_206240	51	0	79	17264
k141_152982	3773	0	21960	0
k141_14456	3	0	16	989
k141_160136	2	0	1	1041
k141_170740	1	0	5	15761
k141_131808	9	0	5	1070
k141_85452	25	0	4	1134
k141_163632	4	0	17	668
k141_21701	96	0	78	2490
k141_128146	184	0	171	4448
k141_217018	1	0	10	775
k141_177912	0	0	1	331
k141_156742	29	0	9	1562
k141_35878	0	0	2	1156
k141_185064	49	0	4	1136
k141_192084	112	0	119	6038
k141_220464	1376	0	0	0
k141_99772	2	0	45	2454
k141_213339	12	0	5	1487
k141_138828	0	0	2	795
k141_50100	2018	0	13062	2
k141_103415	0	0	8	2969
k141_92635	75	0	2	1809
k141_135268	908	0	596	28034
k141_25349	0	0	16	2930
k141_192087	287	0	140	393
k141_60683	0	0	0	2112
k141_35885	129	0	8	1779
k141_188584	36	0	14	1239
k141_160144	1	0	36	1874
k141_78462	105	0	263	2109
k141_209840	0	0	22	1237
k141_3851	0	0	1	1107
k141_167262	54	0	15	2591
k141_170749	0	0	1	318
k141_14476	1047	0	0	0
k141_217031	39	0	0	395
k141_199202	33	0	63	2516
k141_174447	7	0	45	1421
k141_35890	4	0	8	33685
k141_57094	90	0	23	3974
k141_75041	104	0	8	1802
k141_131818	4042	0	0	0
k141_117550	3	0	3	477
k141_43007	1	0	2	2727
k141_64230	2	0	13	377
k141_92651	2	0	8	300
k141_163660	125	0	32	2009
