SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	ClusterCenterDist	EMN001	PYK001	TAF017	VLC001
0001	VLC_EMN_TAF_min5k_sorted_md_k141_192547_n5381	5381	1.0	0.0	0.0	0.0	0.5652	0	0	38	5343
0002	VLC_EMN_TAF_min5k_sorted_md_k141_159469_n1039	1039	1.0	0.0	0.0	0.0	0.6928	1	0	0	1038
0003	VLC_EMN_TAF_min5k_sorted_md_k141_124536_n1221	1221	1.0	0.0	0.0	0.0	0.4658	0	0	20	1201
0004	VLC_EMN_TAF_min5k_sorted_md_k141_38139_n2240	2240	1.0	0.0	0.0	0.0	0.4048	2	0	19	2222
0005	VLC_EMN_TAF_min5k_sorted_md_k141_18307_n1265	1265	1.0	0.0	0.0	0.0	0.7267	0	0	0	1265
0006	VLC_EMN_TAF_min5k_sorted_md_k141_48081_n1713	1713	1.0	0.0	0.0	0.0	0.3867	2	0	0	1712
0007	VLC_EMN_TAF_min5k_sorted_md_k141_110343_n3032	3032	1.0	0.0	0.0	0.0	0.2695	1	0	17	3014
0008	VLC_EMN_TAF_min5k_sorted_md_k141_172930_n1524	1524	1.0	0.0	0.0	0.0	0.3979	3	0	2	1519
0009	VLC_EMN_TAF_min5k_sorted_md_k141_9492_n2465	2465	1.0	0.0	0.0	0.0	0.7054	0	0	0	2465
0010	VLC_EMN_TAF_min5k_sorted_md_k141_161843_n1131	1131	1.0	0.0	0.0	0.0	0.4275	3	0	19	1109
0011	VLC_EMN_TAF_min5k_sorted_md_k141_211142_n1122	1122	1.0	0.0	0.0	0.0	0.5133	3	0	37	1082
0012	VLC_EMN_TAF_min5k_sorted_md_k141_208434_n2604	2604	1.0	0.0	0.0	0.0	0.4488	0	0	0	2604
0013	VLC_EMN_TAF_min5k_sorted_md_k141_60763_n1647	1647	1.0	0.0	0.0	0.0	0.7277	108	0	155	1384
0014	VLC_EMN_TAF_min5k_sorted_md_k141_34848_n1385	1385	1.0	0.0	0.0	0.0	0.4579	4	0	0	1382
0015	VLC_EMN_TAF_min5k_sorted_md_k141_204200_n1235	1235	1.0	0.0	0.0	0.0	0.6855	3	0	8	1226
0016	VLC_EMN_TAF_min5k_sorted_md_k141_43938_n1159	1159	1.0	0.0	0.0	0.0	0.8421	0	0	0	1159
0017	VLC_EMN_TAF_min5k_sorted_md_k141_98534_n2057	2057	1.0	0.0	0.0	0.0	0.4918	1	0	0	2056
0018	VLC_EMN_TAF_min5k_sorted_md_k141_5023_n4353	4353	1.0	0.0	0.0	0.0	0.3768	0	0	1	4352
0019	VLC_EMN_TAF_min5k_sorted_md_k141_192022_n7391	7391	1.0	0.0	0.0	0.0	0.3553	0	0	0	7394
0020	VLC_EMN_TAF_min5k_sorted_md_k141_224247_n1217	1217	1.0	0.0	0.0	0.0	0.5697	0	0	35	1182
0021	VLC_EMN_TAF_min5k_sorted_md_k141_49096_n5397	5397	1.0	0.0	0.0	0.0	0.28	1	0	0	5398
0022	VLC_EMN_TAF_min5k_sorted_md_k141_205391_n1837	1837	1.0	0.0	0.0	0.0	0.4414	41	0	10	1786
0023	VLC_EMN_TAF_min5k_sorted_md_k141_30564_n7444	7444	1.0	0.0	0.0	0.0	0.3473	2	0	0	7443
0024	VLC_EMN_TAF_min5k_sorted_md_k141_18896_n521	521	1.0	0.0	0.0	0.0	0.7079	48	0	3	470
0025	VLC_EMN_TAF_min5k_sorted_md_k141_154962_n9690	9690	1.0	0.0	0.0	0.0	0.4152	0	0	0	9690
0026	VLC_EMN_TAF_min5k_sorted_md_k141_108886_n12019	12019	1.0	0.0	0.0	0.0	0.3281	4	0	26	11989
0027	VLC_EMN_TAF_min5k_sorted_md_k141_87192_n1066	1066	1.0	0.0	0.0	0.0	0.6548	0	0	2	1064
