SampleID	SampleName	AlignedFrags	Cluster1	Cluster2	Cluster3	Cluster4	ClusterCenterDist
0001	VLC_EMN_TAF_min10k_sorted_md_k141_12813_n11232	11232	1.0	0.0	0.0	0.0	0.3358
0002	VLC_EMN_TAF_min10k_sorted_md_k141_170295_n3567	3567	1.0	0.0	0.0	0.0	0.2086
0003	VLC_EMN_TAF_min10k_sorted_md_k141_86336_n13970	13970	1.0	0.0	0.0	0.0	0.2478
0004	VLC_EMN_TAF_min10k_sorted_md_k141_100703_n5110	5110	1.0	0.0	0.0	0.0	0.2652
0005	VLC_EMN_TAF_min10k_sorted_md_k141_215876_n1983	1983	1.0	0.0	0.0	0.0	0.4708
0006	VLC_EMN_TAF_min10k_sorted_md_k141_154869_n1113	1113	1.0	0.0	0.0	0.0	0.5372
0007	VLC_EMN_TAF_min10k_sorted_md_k141_125536_n1035	1035	1.0	0.0	0.0	0.0	0.6158
0008	VLC_EMN_TAF_min10k_sorted_md_k141_49096_n5391	5391	1.0	0.0	0.0	0.0	0.2193
0009	VLC_EMN_TAF_min10k_sorted_md_k141_163543_n3243	3243	1.0	0.0	0.0	0.0	0.4484
0010	VLC_EMN_TAF_min10k_sorted_md_k141_184243_n4370	4370	1.0	0.0	0.0	0.0	0.3518
0011	VLC_EMN_TAF_min10k_sorted_md_k141_206786_n6181	6181	1.0	0.0	0.0	0.0	0.3431
0012	VLC_EMN_TAF_min10k_sorted_md_k141_206240_n17398	17398	1.0	0.0	0.0	0.0	0.2008
0013	VLC_EMN_TAF_min10k_sorted_md_k141_183031_n1053	1053	1.0	0.0	0.0	0.0	0.5878
0014	VLC_EMN_TAF_min10k_sorted_md_k141_18307_n1265	1265	1.0	0.0	0.0	0.0	0.7769
0015	VLC_EMN_TAF_min10k_sorted_md_k141_221207_n8987	8987	1.0	0.0	0.0	0.0	0.4177
0016	VLC_EMN_TAF_min10k_sorted_md_k141_162352_n1362	1362	1.0	0.0	0.0	0.0	0.6286
0017	VLC_EMN_TAF_min10k_sorted_md_k141_170543_n1058	1058	1.0	0.0	0.0	0.0	0.7564
0018	VLC_EMN_TAF_min10k_sorted_md_k141_53240_n1547	1547	1.0	0.0	0.0	0.0	0.6127
0019	VLC_EMN_TAF_min10k_sorted_md_k141_65470_n6948	6948	1.0	0.0	0.0	0.0	0.2804
0020	VLC_EMN_TAF_min10k_sorted_md_k141_115558_n2082	2082	1.0	0.0	0.0	0.0	0.5591
0021	VLC_EMN_TAF_min10k_sorted_md_k141_93211_n4072	4072	1.0	0.0	0.0	0.0	0.5355
0022	VLC_EMN_TAF_min10k_sorted_md_k141_219173_n6521	6521	1.0	0.0	0.0	0.0	0.4068
0023	VLC_EMN_TAF_min10k_sorted_md_k141_108886_n12059	12059	1.0	0.0	0.0	0.0	0.2646
0024	VLC_EMN_TAF_min10k_sorted_md_k141_87192_n1066	1066	1.0	0.0	0.0	0.0	0.6987
0025	VLC_EMN_TAF_min10k_sorted_md_k141_8371_n10561	10561	1.0	0.0	0.0	0.0	0.1767
0026	VLC_EMN_TAF_min10k_sorted_md_k141_202035_n1644	1644	1.0	0.0	0.0	0.0	0.5836
0027	VLC_EMN_TAF_min10k_sorted_md_k141_191574_n1558	1558	1.0	0.0	0.0	0.0	0.6278
0028	VLC_EMN_TAF_min10k_sorted_md_k141_2872_n3337	3337	1.0	0.0	0.0	0.0	0.4541
0029	VLC_EMN_TAF_min10k_sorted_md_k141_43938_n1159	1159	1.0	0.0	0.0	0.0	0.8738
0030	VLC_EMN_TAF_min10k_sorted_md_k141_27105_n1780	1780	1.0	0.0	0.0	0.0	0.426
0031	VLC_EMN_TAF_min10k_sorted_md_k141_66067_n1655	1655	1.0	0.0	0.0	0.0	0.6852
0032	VLC_EMN_TAF_min10k_sorted_md_k141_74765_n5132	5132	1.0	0.0	0.0	0.0	0.3418
0033	VLC_EMN_TAF_min10k_sorted_md_k141_79483_n3959	3959	1.0	0.0	0.0	0.0	0.4661
0034	VLC_EMN_TAF_min10k_sorted_md_k141_192022_n7395	7395	1.0	0.0	0.0	0.0	0.2653
0035	VLC_EMN_TAF_min10k_sorted_md_k141_168732_n10640	10640	1.0	0.0	0.0	0.0	0.3042
0036	VLC_EMN_TAF_min10k_sorted_md_k141_85450_n7428	7428	1.0	0.0	0.0	0.0	0.2889
0037	VLC_EMN_TAF_min10k_sorted_md_k141_26139_n1013	1013	1.0	0.0	0.0	0.0	0.5536
0038	VLC_EMN_TAF_min10k_sorted_md_k141_124123_n3917	3917	1.0	0.0	0.0	0.0	0.5324
0039	VLC_EMN_TAF_min10k_sorted_md_k141_193234_n1349	1349	1.0	0.0	0.0	0.0	0.4666
0040	VLC_EMN_TAF_min10k_sorted_md_k141_22164_n5563	5563	1.0	0.0	0.0	0.0	0.3068
0041	VLC_EMN_TAF_min10k_sorted_md_k141_161769_n1473	1473	1.0	0.0	0.0	0.0	0.6406
0042	VLC_EMN_TAF_min10k_sorted_md_k141_204947_n1310	1310	1.0	0.0	0.0	0.0	0.7674
0043	VLC_EMN_TAF_min10k_sorted_md_k141_5678_n1025	1025	1.0	0.0	0.0	0.0	0.8005
0044	VLC_EMN_TAF_min10k_sorted_md_k141_52728_n2278	2278	1.0	0.0	0.0	0.0	0.4865
0045	VLC_EMN_TAF_min10k_sorted_md_k141_160782_n3338	3338	1.0	0.0	0.0	0.0	0.321
0046	VLC_EMN_TAF_min10k_sorted_md_k141_38199_n3308	3308	1.0	0.0	0.0	0.0	0.5152
0047	VLC_EMN_TAF_min10k_sorted_md_k141_83821_n4378	4378	1.0	0.0	0.0	0.0	0.2825
0048	VLC_EMN_TAF_min10k_sorted_md_k141_220449_n4750	4750	1.0	0.0	0.0	0.0	0.4787
0049	VLC_EMN_TAF_min10k_sorted_md_k141_200862_n1283	1283	1.0	0.0	0.0	0.0	0.4208
0050	VLC_EMN_TAF_min10k_sorted_md_k141_30564_n7461	7461	1.0	0.0	0.0	0.0	0.2925
0051	VLC_EMN_TAF_min10k_sorted_md_k141_135687_n9653	9653	1.0	0.0	0.0	0.0	0.3297
0052	VLC_EMN_TAF_min10k_sorted_md_k141_54099_n12741	12741	1.0	0.0	0.0	0.0	0.4271
0053	VLC_EMN_TAF_min10k_sorted_md_k141_201770_n11662	11662	1.0	0.0	0.0	0.0	0.4202
0054	VLC_EMN_TAF_min10k_sorted_md_k141_130738_n1761	1761	1.0	0.0	0.0	0.0	0.5768
0055	VLC_EMN_TAF_min10k_sorted_md_k141_159631_n17383	17383	1.0	0.0	0.0	0.0	0.2748
0056	VLC_EMN_TAF_min10k_sorted_md_k141_213105_n1062	1062	1.0	0.0	0.0	0.0	0.7288
0057	VLC_EMN_TAF_min10k_sorted_md_k141_82510_n1025	1025	1.0	0.0	0.0	0.0	0.6809
0058	VLC_EMN_TAF_min10k_sorted_md_k141_118547_n1183	1183	1.0	0.0	0.0	0.0	0.7518
0059	VLC_EMN_TAF_min10k_sorted_md_k141_5023_n4358	4358	1.0	0.0	0.0	0.0	0.4103
0060	VLC_EMN_TAF_min10k_sorted_md_k141_125802_n4545	4545	1.0	0.0	0.0	0.0	0.4053
0061	VLC_EMN_TAF_min10k_sorted_md_k141_174565_n1696	1696	1.0	0.0	0.0	0.0	0.6394
0062	VLC_EMN_TAF_min10k_sorted_md_k141_19297_n1005	1005	1.0	0.0	0.0	0.0	0.8758
0063	VLC_EMN_TAF_min10k_sorted_md_k141_215429_n1217	1217	1.0	0.0	0.0	0.0	0.7186
0064	VLC_EMN_TAF_min10k_sorted_md_k141_77698_n2891	2891	1.0	0.0	0.0	0.0	0.4365
0065	VLC_EMN_TAF_min10k_sorted_md_k141_113123_n4988	4988	1.0	0.0	0.0	0.0	0.5972
0066	VLC_EMN_TAF_min10k_sorted_md_k141_73381_n1006	1006	1.0	0.0	0.0	0.0	0.6771
0067	VLC_EMN_TAF_min10k_sorted_md_k141_89616_n1083	1083	1.0	0.0	0.0	0.0	0.6852
0068	VLC_EMN_TAF_min10k_sorted_md_k141_114078_n5630	5630	1.0	0.0	0.0	0.0	0.4937
0069	VLC_EMN_TAF_min10k_sorted_md_k141_45778_n1368	1368	1.0	0.0	0.0	0.0	0.5506
0070	VLC_EMN_TAF_min10k_sorted_md_k141_192547_n5420	5420	1.0	0.0	0.0	0.0	0.4876
0071	VLC_EMN_TAF_min10k_sorted_md_k141_162419_n1339	1339	1.0	0.0	0.0	0.0	0.4539
0072	VLC_EMN_TAF_min10k_sorted_md_k141_92009_n1472	1472	1.0	0.0	0.0	0.0	0.6054
0073	VLC_EMN_TAF_min10k_sorted_md_k141_113438_n3785	3785	1.0	0.0	0.0	0.0	0.3468
0074	VLC_EMN_TAF_min10k_sorted_md_k141_62123_n4125	4125	1.0	0.0	0.0	0.0	0.2036
0075	VLC_EMN_TAF_min10k_sorted_md_k141_185221_n1017	1017	1.0	0.0	0.0	0.0	1.0
0076	VLC_EMN_TAF_min10k_sorted_md_k141_92871_n24877	24877	1.0	0.0	0.0	0.0	0.2748
0077	VLC_EMN_TAF_min10k_sorted_md_k141_180244_n12781	12781	1.0	0.0	0.0	0.0	0.1783
0078	VLC_EMN_TAF_min10k_sorted_md_k141_84916_n1070	1070	1.0	0.0	0.0	0.0	0.8636
0079	VLC_EMN_TAF_min10k_sorted_md_k141_90799_n11208	11208	1.0	0.0	0.0	0.0	0.4045
0080	VLC_EMN_TAF_min10k_sorted_md_k141_159560_n1069	1069	1.0	0.0	0.0	0.0	0.5912
0081	VLC_EMN_TAF_min10k_sorted_md_k141_92398_n12814	12814	1.0	0.0	0.0	0.0	0.2035
0082	VLC_EMN_TAF_min10k_sorted_md_k141_133789_n6948	6948	1.0	0.0	0.0	0.0	0.3082
0083	VLC_EMN_TAF_min10k_sorted_md_k141_44141_n5376	5376	1.0	0.0	0.0	0.0	0.2977
0084	VLC_EMN_TAF_min10k_sorted_md_k141_7206_n1052	1052	1.0	0.0	0.0	0.0	0.5565
0085	VLC_EMN_TAF_min10k_sorted_md_k141_52382_n6928	6928	1.0	0.0	0.0	0.0	0.4716
0086	VLC_EMN_TAF_min10k_sorted_md_k141_191295_n6645	6645	1.0	0.0	0.0	0.0	0.3003
0087	VLC_EMN_TAF_min10k_sorted_md_k141_148975_n1769	1769	1.0	0.0	0.0	0.0	0.4681
0088	VLC_EMN_TAF_min10k_sorted_md_k141_122504_n5323	5323	1.0	0.0	0.0	0.0	0.3835
0089	VLC_EMN_TAF_min10k_sorted_md_k141_96823_n1009	1009	1.0	0.0	0.0	0.0	0.6914
0090	VLC_EMN_TAF_min10k_sorted_md_k141_161843_n1145	1145	1.0	0.0	0.0	0.0	0.5033
0091	VLC_EMN_TAF_min10k_sorted_md_k141_222170_n7153	7153	1.0	0.0	0.0	0.0	0.3434
0092	VLC_EMN_TAF_min10k_sorted_md_k141_193875_n3112	3112	1.0	0.0	0.0	0.0	0.3073
0093	VLC_EMN_TAF_min10k_sorted_md_k141_36562_n1101	1101	1.0	0.0	0.0	0.0	0.5133
0094	VLC_EMN_TAF_min10k_sorted_md_k141_75679_n1396	1396	1.0	0.0	0.0	0.0	0.4495
0095	VLC_EMN_TAF_min10k_sorted_md_k141_149828_n5558	5558	1.0	0.0	0.0	0.0	0.2822
0096	VLC_EMN_TAF_min10k_sorted_md_k141_204610_n4341	4341	1.0	0.0	0.0	0.0	0.5947
0097	VLC_EMN_TAF_min10k_sorted_md_k141_190943_n1581	1581	1.0	0.0	0.0	0.0	0.9223
0098	VLC_EMN_TAF_min10k_sorted_md_k141_83102_n7227	7227	1.0	0.0	0.0	0.0	0.3011
0099	VLC_EMN_TAF_min10k_sorted_md_k141_114261_n1200	1200	1.0	0.0	0.0	0.0	0.6655
0100	VLC_EMN_TAF_min10k_sorted_md_k141_172930_n1524	1524	1.0	0.0	0.0	0.0	0.5252
0101	VLC_EMN_TAF_min10k_sorted_md_k141_98534_n2057	2057	1.0	0.0	0.0	0.0	0.5811
0102	VLC_EMN_TAF_min10k_sorted_md_k141_187164_n8511	8511	1.0	0.0	0.0	0.0	0.3322
0103	VLC_EMN_TAF_min10k_sorted_md_k141_81049_n5609	5609	1.0	0.0	0.0	0.0	0.4371
0104	VLC_EMN_TAF_min10k_sorted_md_k141_123798_n5772	5772	1.0	0.0	0.0	0.0	0.2091
0105	VLC_EMN_TAF_min10k_sorted_md_k141_194754_n1018	1018	1.0	0.0	0.0	0.0	0.6822
0106	VLC_EMN_TAF_min10k_sorted_md_k141_31527_n13377	13377	1.0	0.0	0.0	0.0	0.1947
0107	VLC_EMN_TAF_min10k_sorted_md_k141_170740_n15761	15761	1.0	0.0	0.0	0.0	0.1599
0108	VLC_EMN_TAF_min10k_sorted_md_k141_108508_n9038	9038	1.0	0.0	0.0	0.0	0.3402
0109	VLC_EMN_TAF_min10k_sorted_md_k141_149067_n1133	1133	1.0	0.0	0.0	0.0	0.5911
0110	VLC_EMN_TAF_min10k_sorted_md_k141_173305_n1580	1580	1.0	0.0	0.0	0.0	0.7223
0111	VLC_EMN_TAF_min10k_sorted_md_k141_154962_n9690	9690	1.0	0.0	0.0	0.0	0.3759
0112	VLC_EMN_TAF_min10k_sorted_md_k141_222867_n5090	5090	1.0	0.0	0.0	0.0	0.275
0113	VLC_EMN_TAF_min10k_sorted_md_k141_115969_n10829	10829	1.0	0.0	0.0	0.0	0.3503
0114	VLC_EMN_TAF_min10k_sorted_md_k141_109063_n3699	3699	1.0	0.0	0.0	0.0	0.3571
0115	VLC_EMN_TAF_min10k_sorted_md_k141_102880_n4074	4074	1.0	0.0	0.0	0.0	0.2701
0116	VLC_EMN_TAF_min10k_sorted_md_k141_109638_n5472	5472	1.0	0.0	0.0	0.0	0.2405
0117	VLC_EMN_TAF_min10k_sorted_md_k141_114092_n16029	16029	1.0	0.0	0.0	0.0	0.402
0118	VLC_EMN_TAF_min10k_sorted_md_k141_11195_n20133	20133	1.0	0.0	0.0	0.0	0.1832
0119	VLC_EMN_TAF_min10k_sorted_md_k141_121212_n1467	1467	1.0	0.0	0.0	0.0	0.468
0120	VLC_EMN_TAF_min10k_sorted_md_k141_191057_n1183	1183	1.0	0.0	0.0	0.0	0.6516
0121	VLC_EMN_TAF_min10k_sorted_md_k141_150718_n25223	25223	1.0	0.0	0.0	0.0	0.2619
0122	VLC_EMN_TAF_min10k_sorted_md_k141_76771_n1416	1416	1.0	0.0	0.0	0.0	0.793
0123	VLC_EMN_TAF_min10k_sorted_md_k141_198124_n2364	2364	1.0	0.0	0.0	0.0	0.5114
0124	VLC_EMN_TAF_min10k_sorted_md_k141_73749_n4212	4212	0.9999	0.0	0.0001	0.0	0.5927
0125	VLC_EMN_TAF_min10k_sorted_md_k141_179788_n1854	1854	0.9999	0.0	0.0001	0.0	0.8972
0126	VLC_EMN_TAF_min10k_sorted_md_k141_124342_n1342	1342	0.9997	0.0	0.0003	0.0	0.6091
0127	VLC_EMN_TAF_min10k_sorted_md_k141_140848_n2748	2748	0.9996	0.0	0.0004	0.0	0.4019
0128	VLC_EMN_TAF_min10k_sorted_md_k141_87265_n1547	1547	0.9994	0.0	0.0006	0.0	0.6588
0129	VLC_EMN_TAF_min10k_sorted_md_k141_31637_n1202	1202	0.999	0.0	0.001	0.0	0.3309
0130	VLC_EMN_TAF_min10k_sorted_md_k141_210193_n2080	2080	0.9987	0.0	0.0013	0.0	0.3523
0131	VLC_EMN_TAF_min10k_sorted_md_k141_60021_n8692	8692	0.9982	0.0	0.0018	0.0	0.3003
0132	VLC_EMN_TAF_min10k_sorted_md_k141_5354_n1313	1313	0.9971	0.0	0.0029	0.0	0.3356
0133	VLC_EMN_TAF_min10k_sorted_md_k141_17249_n1630	1630	0.9949	0.0	0.0051	0.0	0.7038
0134	VLC_EMN_TAF_min10k_sorted_md_k141_196219_n3326	3326	0.9943	0.0	0.0057	0.0	0.4071
0135	VLC_EMN_TAF_min10k_sorted_md_k141_183648_n4016	4016	0.9939	0.0	0.0061	0.0	0.3305
0136	VLC_EMN_TAF_min10k_sorted_md_k141_145924_n2186	2186	0.9864	0.0	0.0136	0.0	0.4399
0137	VLC_EMN_TAF_min10k_sorted_md_k141_24834_n3085	3085	0.9849	0.0	0.0151	0.0	0.3356
0138	VLC_EMN_TAF_min10k_sorted_md_k141_187579_n2027	2027	0.9708	0.0	0.0292	0.0	0.4189
